point,label,prediction,correct,margin,score_0,score_1
0,0,0,1,0.06575990824218736,0.5851165509667968,0.5193566427246095
1,0,0,1,0.15446816968749993,0.628032076171875,0.473563906484375
2,1,1,1,0.03268462580078124,0.5374907851904297,0.5701754109912109
3,0,0,1,0.08415064537109362,0.5940136720458984,0.5098630266748048
4,1,1,1,0.03376643386718747,0.5369674251269532,0.5707338589941406
5,0,0,1,0.03438747431640621,0.5699391091259766,0.5355516348095704
6,1,1,1,0.1808923308984376,0.46579045649414064,0.6466827873925782
7,1,1,1,0.18521956316406257,0.46369701624023435,0.6489165794042969
8,1,1,1,0.1603379776367188,0.4757342977001953,0.6360722753369141
9,0,1,0,0.00023038380859374818,0.5531915870947266,0.5534219709033203
10,0,0,1,0.0733325647070312,0.5887800714111328,0.5154475067041016
11,1,1,1,0.0867750291210938,0.5113227820166015,0.5980978111376953
12,1,0,0,0.011669504921875018,0.5589485477929688,0.5472790428710937
13,1,1,1,0.10732938238281253,0.5013789408105469,0.6087083231933594
14,1,1,1,0.00023038380859374818,0.5531915870947266,0.5534219709033203
15,1,1,1,0.05215717099609374,0.5280703040478516,0.5802274750439453
16,0,0,1,0.11335946316406242,0.6081443937597656,0.49478493059570317
17,0,0,1,0.06467810017578124,0.5845931909033203,0.519915090727539
18,0,0,1,0.11011403896484367,0.6065743135693359,0.4964602746044922
19,0,0,1,0.026814817851562478,0.5662755886816406,0.5394607708300782
20,1,1,1,0.01645750480468755,0.5453411861425781,0.5617986909472656
21,1,1,1,0.11165661464843751,0.4992855005566406,0.6109421152050781
22,1,1,1,0.1549289373046875,0.47835109801757814,0.6332800353222656
23,0,0,1,0.061432675976562434,0.5830231107128906,0.5215904347363282
24,1,1,1,0.11814746304687507,0.49614534017578127,0.6142928032226563
25,0,0,1,0.0992959583007812,0.6013407129345703,0.5020447546337891
26,1,1,1,0.1863013712304688,0.4631736561767578,0.6494750274072266
27,1,1,1,0.02403016126953128,0.5416776656982422,0.5657078269677734
28,1,1,1,0.1635834018359375,0.4741642175097656,0.6377476193457031
29,0,0,1,0.08415064537109362,0.5940136720458984,0.5098630266748048
30,1,1,1,0.14627447277343752,0.4825379785253906,0.6288124512988281
31,1,1,1,0.07162971619140635,0.5186498229052734,0.5902795390966797
32,0,0,1,0.09713234216796873,0.6002939928076172,0.5031616506396485
33,0,0,1,0.12417754382812496,0.6133779943945312,0.48920045056640626
34,0,0,1,0.10362319056640623,0.6034341531884766,0.49981096262207036
35,0,0,1,0.089559685703125,0.5966304723632813,0.5070707866601563
36,0,0,1,0.01383312105468737,0.5599952679199218,0.5461621468652345
37,0,0,1,0.10795042283203121,0.6055275934423828,0.4975771706103516
38,0,0,1,0.0571054437109374,0.5809296704589844,0.523824226748047
39,1,1,1,0.009966656406250052,0.5484813465234375,0.5584480029296875
40,0,0,1,0.023569393652343673,0.5647055084912109,0.5411361148388673
41,1,1,1,0.17223786636718752,0.4699773370019531,0.6422152033691406
42,0,1,0,0.048911746796875155,0.5296403842382812,0.5785521310351563
43,0,0,1,0.10795042283203121,0.6055275934423828,0.4975771706103516
44,0,0,1,0.06792352437499993,0.58616327109375,0.5182397467187501
45,1,1,1,0.2155101890234376,0.4490429344628906,0.6645531234863282
46,0,1,0,0.018621120937500013,0.544294466015625,0.562915586953125
47,1,1,1,0.10516576625000007,0.5024256609375,0.6075914271875
48,1,1,1,0.004557616074218895,0.5510981468408203,0.5556557629150392
49,1,1,1,0.08785683718750004,0.510799421953125,0.598656259140625
50,1,1,1,0.11057480658203134,0.4998088606201172,0.6103836672021485
